"object","source","log_prop","in_cdi"
"adult","vqa",-4.57494086461881,FALSE
"adult foot","vqa",-9.65100713863566,FALSE
"adult hand","vqa",-9.98747937525687,FALSE
"adult man","vqa",-9.80515781846292,FALSE
"adult woman","vqa",-10.2106229265711,FALSE
"air conditioner","vqa",-6.34989321553049,FALSE
"air purifier","vqa",-9.29433219469693,FALSE
"airplane toy","vqa",-10.903770107131,FALSE
"alarm clock","vqa",-10.4983049990229,FALSE
"alphabet block","vqa",-10.2106229265711,FALSE
"animal","vqa",-6.67693636186285,TRUE
"animal picture","vqa",-10.4983049990229,FALSE
"animal sticker","vqa",-10.2106229265711,FALSE
"apple","vqa_yoloe",-6.17519609308447,TRUE
"apple peeler","vqa",-9.65100713863566,FALSE
"avocado","vqa",-9.98747937525687,FALSE
"baby","vqa",-3.03303136828275,TRUE
"baby and stroller","vqa",-10.903770107131,FALSE
"baby animal book","vqa",-10.903770107131,FALSE
"baby bath toy","vqa",-10.903770107131,FALSE
"baby bed","vqa",-5.1230265913387,FALSE
"baby bed sheet","vqa",-10.4983049990229,FALSE
"baby book","vqa",-10.4983049990229,FALSE
"baby booty","vqa",-10.903770107131,FALSE
"baby bottle","vqa",-4.88761294743268,FALSE
"baby bottle cap","vqa",-10.2106229265711,FALSE
"baby bouncer","vqa",-10.4983049990229,FALSE
"baby car","vqa",-10.903770107131,FALSE
"baby car seat","vqa",-8.95785995807572,FALSE
"baby carriage","vqa",-9.03196793022944,FALSE
"baby carrier","vqa",-9.65100713863566,FALSE
"baby chair","vqa",-7.09710761736071,FALSE
"baby change table","vqa",-10.903770107131,FALSE
"baby clothes","vqa",-7.88334522098667,FALSE
"baby crib","vqa",-5.51698409259538,FALSE
"baby diaper","vqa",-10.903770107131,FALSE
"baby doll","vqa",-6.17638228841869,FALSE
"baby elephant","vqa",-9.65100713863566,FALSE
"baby food","vqa",-7.37740958251487,FALSE
"baby food bowl","vqa",-10.903770107131,FALSE
"baby food box","vqa",-9.39969271035475,FALSE
"baby food tray","vqa",-9.80515781846292,FALSE
"baby foot","vqa",-8.04156922620156,FALSE
"baby gate","vqa",-5.18509901998108,FALSE
"baby girl","vqa",-10.903770107131,FALSE
"baby helmet","vqa",-8.55239484996755,FALSE
"baby in clothes","vqa",-10.903770107131,FALSE
"baby pacifier","vqa",-9.65100713863566,FALSE
"baby photo album","vqa",-10.903770107131,FALSE
"baby plate","vqa",-9.11201063790297,FALSE
"baby playpen","vqa",-10.903770107131,FALSE
"baby pool","vqa",-8.76370394363476,FALSE
"baby seat","vqa",-4.8888332038379,FALSE
"baby shoe","vqa",-8.82432856545119,FALSE
"baby stroller","vqa",-4.5043435717163,FALSE
"baby swing","vqa",-8.16293008320583,FALSE
"baby toy","vqa",-6.64815739731281,FALSE
"baby walker","vqa",-5.75047851263325,FALSE
"backpack","vqa",-5.85391409988149,FALSE
"bag","vqa",-3.43297633293597,FALSE
"bag of bread","vqa",-10.903770107131,FALSE
"bag of candy","vqa",-10.903770107131,FALSE
"bag of carrot","vqa",-9.98747937525687,FALSE
"bag of cat food","vqa",-10.903770107131,FALSE
"bag of cereal","vqa",-9.39969271035475,FALSE
"bag of cheese","vqa",-10.903770107131,FALSE
"bag of chip","vqa",-6.72938283723539,FALSE
"bag of dog food","vqa",-10.4983049990229,FALSE
"bag of flour","vqa",-8.33882074966949,FALSE
"bag of food","vqa",-8.65247830852453,FALSE
"bag of fruit","vqa",-10.903770107131,FALSE
"bag of object","vqa",-10.903770107131,FALSE
"bag of pasta","vqa",-10.903770107131,FALSE
"bag of rice","vqa",-9.1990220148926,FALSE
"bag of salt","vqa",-9.98747937525687,FALSE
"bag of toy","vqa",-10.2106229265711,FALSE
"bag of vegetable","vqa",-10.903770107131,FALSE
"baguette","vqa",-9.39969271035475,FALSE
"balcony","vqa",-10.903770107131,FALSE
"ball","vqa_yoloe",-3.65546330640346,TRUE
"ball hoop","vqa",-10.4983049990229,FALSE
"ball net","vqa",-9.51747574601114,FALSE
"ball pit","vqa",-7.45378256129944,FALSE
"balloon","vqa_yoloe",-4.6940118689791,TRUE
"balloon tube","vqa",-10.903770107131,FALSE
"banana","vqa_yoloe",-5.32831596020622,TRUE
